,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2015.0,1.0,62.5,68.75,31.25,0.0,1.0,91.67,12.0
1,2015.0,1.0,50.0,31.25,56.25,0.0,0.0,50.0,14.0
2,2015.0,1.0,62.5,75.0,18.75,50.0,2.0,90.0,10.0
3,2015.0,1.0,80.0,60.0,53.33,100.0,3.0,72.73,11.0
4,2015.0,1.0,57.14,57.14,57.14,75.0,4.0,62.5,8.0
5,2015.0,1.0,92.86,78.57,64.29,100.0,7.0,71.43,7.0
6,2015.0,1.0,78.57,50.0,50.0,80.0,5.0,50.0,8.0
7,2015.0,1.0,71.43,57.14,50.0,71.43,7.0,50.0,6.0
8,2015.0,1.0,76.92,61.54,46.15,80.0,5.0,57.14,7.0
9,2015.0,1.0,35.71,42.86,42.86,25.0,4.0,100.0,6.0
10,2015.0,1.0,78.57,85.71,64.29,100.0,6.0,85.71,7.0
11,2015.0,1.0,43.75,43.75,37.5,50.0,4.0,42.86,7.0
12,2015.0,1.0,68.75,56.25,37.5,62.5,8.0,57.14,7.0
13,2015.0,1.0,56.25,56.25,62.5,80.0,5.0,50.0,10.0
14,2015.0,1.0,68.75,56.25,50.0,100.0,5.0,57.14,7.0
15,2015.0,1.0,62.5,62.5,25.0,50.0,6.0,75.0,8.0
16,2015.0,1.0,56.25,68.75,56.25,70.0,10.0,50.0,4.0
